ubuntu@ip-10-0-4-128:~$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jul03 ?        00:00:04 /sbin/init
root         2     0  0 Jul03 ?        00:00:00 [kthreadd]
root         4     2  0 Jul03 ?        00:00:00 [kworker/0:0H]
root         6     2  0 Jul03 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Jul03 ?        00:00:00 [ksoftirqd/0]
root         8     2  0 Jul03 ?        00:00:00 [rcu_sched]
root         9     2  0 Jul03 ?        00:00:00 [rcu_bh]
root        10     2  0 Jul03 ?        00:00:00 [migration/0]
root        11     2  0 Jul03 ?        00:00:00 [watchdog/0]
root        12     2  0 Jul03 ?        00:00:00 [cpuhp/0]
root        13     2  0 Jul03 ?        00:00:00 [kdevtmpfs]
root        14     2  0 Jul03 ?        00:00:00 [netns]
root        15     2  0 Jul03 ?        00:00:00 [rcu_tasks_kthre]
root        16     2  0 Jul03 ?        00:00:00 [kauditd]
root        17     2  0 Jul03 ?        00:00:00 [xenbus]
root        18     2  0 Jul03 ?        00:00:00 [xenwatch]
root        20     2  0 Jul03 ?        00:00:00 [khungtaskd]
root        21     2  0 Jul03 ?        00:00:00 [oom_reaper]
root        22     2  0 Jul03 ?        00:00:00 [writeback]
root        23     2  0 Jul03 ?        00:00:00 [kcompactd0]
root        24     2  0 Jul03 ?        00:00:00 [ksmd]
root        25     2  0 Jul03 ?        00:00:00 [crypto]
root        26     2  0 Jul03 ?        00:00:00 [kintegrityd]
root        27     2  0 Jul03 ?        00:00:00 [kblockd]
root        28     2  0 Jul03 ?        00:00:00 [ata_sff]
root        29     2  0 Jul03 ?        00:00:00 [md]
root        30     2  0 Jul03 ?        00:00:00 [edac-poller]
root        31     2  0 Jul03 ?        00:00:00 [devfreq_wq]
root        32     2  0 Jul03 ?        00:00:00 [watchdogd]
root        35     2  0 Jul03 ?        00:00:00 [kswapd0]
root        36     2  0 Jul03 ?        00:00:00 [kworker/u31:0]
root        37     2  0 Jul03 ?        00:00:00 [ecryptfs-kthrea]
root        79     2  0 Jul03 ?        00:00:00 [kthrotld]
root        80     2  0 Jul03 ?        00:00:00 [nvme-wq]
root        81     2  0 Jul03 ?        00:00:00 [scsi_eh_0]
root        82     2  0 Jul03 ?        00:00:00 [scsi_tmf_0]
root        83     2  0 Jul03 ?        00:00:00 [scsi_eh_1]
